datetime,I_setpoint[A],LOAD[on/off],V[V],I_meas[A],H2_flow[ln/min],P(W)
2023-10-18 15:41:28,45.0,1.0,0.000562,0.0,0.043424,0.0
2023-10-18 15:41:28,45.0,1.0,0.000639,0.0,0.0,0.0
2023-10-18 15:41:29,45.0,1.0,0.000627,0.0,0.0,0.0
2023-10-18 15:41:29,45.0,1.0,0.000601,0.0,0.0,0.0
2023-10-18 15:41:30,45.0,1.0,0.000597,0.0,0.0,0.0
2023-10-18 15:41:30,45.0,1.0,0.000589,0.0,0.0,0.0
2023-10-18 15:41:31,45.0,1.0,0.000608,0.0,0.0,0.0
2023-10-18 15:41:31,45.0,1.0,0.000579,0.0,0.0,0.0
2023-10-18 15:41:32,45.0,1.0,0.000571,0.0,0.0,0.0
2023-10-18 15:41:32,45.0,1.0,0.000488,0.0,0.0,0.0
2023-10-18 15:41:33,45.0,1.0,0.000566,0.0,0.0,0.0
2023-10-18 15:41:33,45.0,1.0,0.000538,0.0,0.0,0.0
2023-10-18 15:41:34,45.0,1.0,0.000548,0.0,0.0,0.0
2023-10-18 15:41:34,45.0,1.0,0.000596,0.0,0.0,0.0
2023-10-18 15:41:35,45.0,1.0,0.000582,0.0,0.0,0.0
2023-10-18 15:41:35,45.0,1.0,0.000576,0.0,0.0,0.0
2023-10-18 15:41:36,45.0,1.0,0.000499,0.0,0.0,0.0
2023-10-18 15:41:36,45.0,1.0,0.000569,0.0,0.0,0.0
2023-10-18 15:41:37,45.0,1.0,0.000601,0.0,0.0,0.0
2023-10-18 15:41:37,45.0,1.0,0.000548,0.0,26.14422,0.0
2023-10-18 15:41:38,45.0,1.0,0.00047,0.0,0.647824,0.0
2023-10-18 15:41:38,45.0,1.0,0.000519,0.0,0.0,0.0
2023-10-18 15:41:39,45.0,1.0,0.000573,0.0,0.0,0.0
2023-10-18 15:41:39,45.0,1.0,0.000606,0.0,0.0,0.0
2023-10-18 15:41:40,45.0,1.0,0.000552,0.0,0.0,0.0
2023-10-18 15:41:40,45.0,1.0,0.000545,0.0,0.0,0.0
2023-10-18 15:41:41,45.0,1.0,0.00053,0.0,0.0,0.0
2023-10-18 15:41:41,45.0,1.0,0.00052,0.0,0.0,0.0
2023-10-18 15:41:42,45.0,1.0,0.000482,0.0,0.0,0.0
2023-10-18 15:41:42,45.0,1.0,0.000506,0.0,0.0,0.0
2023-10-18 15:41:43,45.0,1.0,0.000538,0.0,0.0,0.0
2023-10-18 15:41:43,45.0,1.0,0.000537,0.0,0.0,0.0
2023-10-18 15:41:44,45.0,1.0,0.000483,0.0,0.0,0.0
2023-10-18 15:41:44,45.0,1.0,0.000503,0.0,0.0,0.0
2023-10-18 15:41:45,45.0,1.0,0.000541,0.0,0.0,0.0
2023-10-18 15:41:45,45.0,1.0,0.000581,0.0,0.0,0.0
2023-10-18 15:41:46,45.0,1.0,0.000566,0.0,0.0,0.0
2023-10-18 15:41:46,45.0,1.0,0.000501,0.0,0.0,0.0
2023-10-18 15:41:47,45.0,1.0,0.000502,0.0,0.0,0.0
2023-10-18 15:41:47,45.0,1.0,0.000479,0.0,31.661131,0.0
2023-10-18 15:41:48,45.0,1.0,0.000449,0.0,1.968205,0.0
2023-10-18 15:41:48,45.0,1.0,0.000436,0.0,0.0,0.0
2023-10-18 15:41:49,45.0,1.0,0.000562,0.0,0.0,0.0
2023-10-18 15:41:49,45.0,1.0,0.000516,0.0,0.0,0.0
2023-10-18 15:41:50,45.0,1.0,0.000589,0.0,0.0,0.0
2023-10-18 15:41:50,45.0,1.0,0.000482,0.0,0.0,0.0
2023-10-18 15:41:51,45.0,1.0,0.000535,0.0,0.0,0.0
2023-10-18 15:41:51,45.0,1.0,0.000459,0.0,0.0,0.0
2023-10-18 15:41:52,45.0,1.0,0.000528,0.0,0.0,0.0
2023-10-18 15:41:52,45.0,1.0,0.000496,0.0,0.0,0.0
2023-10-18 15:41:53,45.0,1.0,0.000473,0.0,0.0,0.0
2023-10-18 15:41:53,45.0,1.0,0.00055,0.0,0.0,0.0
2023-10-18 15:41:54,45.0,1.0,0.00054,0.0,0.0,0.0
2023-10-18 15:41:54,45.0,1.0,0.000424,0.0,0.0,0.0
2023-10-18 15:41:55,45.0,1.0,0.000476,0.0,0.0,0.0
2023-10-18 15:41:55,45.0,1.0,0.000513,0.0,0.0,0.0
2023-10-18 15:41:56,45.0,1.0,0.000512,0.0,0.0,0.0
2023-10-18 15:41:56,45.0,1.0,0.000544,0.0,0.0,0.0
2023-10-18 15:41:57,45.0,1.0,0.000492,0.0,0.0,0.0
2023-10-18 15:41:57,45.0,1.0,0.000503,0.0,24.205872,0.0
2023-10-18 15:41:58,45.0,1.0,0.000546,0.0,6.919565,0.0
2023-10-18 15:41:58,45.0,1.0,0.0005,0.0,0.038218,0.0
2023-10-18 15:41:59,48.0,1.0,0.000459,0.0,0.0,0.0
2023-10-18 15:41:59,48.0,1.0,0.000506,0.0,0.0,0.0
2023-10-18 15:42:00,48.0,1.0,0.000471,0.0,0.0,0.0
2023-10-18 15:42:00,48.0,1.0,0.000493,0.0,0.0,0.0
2023-10-18 15:42:01,48.0,1.0,0.000464,0.0,0.0,0.0
2023-10-18 15:42:01,48.0,1.0,0.000523,0.0,0.0,0.0
2023-10-18 15:42:02,48.0,1.0,0.000549,0.0,0.0,0.0
2023-10-18 15:42:02,48.0,1.0,0.000574,0.0,0.0,0.0
