DCDCOVOL,DCDCOCUR,DCDCOPOW,DCDCIVOL,DCDCTEMp,PS1,PS2,PS3,TFC,SPEED,H2LVL,BATTV,BATTI,BATTSOC,BATTEMP,HOURSREM,REQDCDC,NSTATE,OUTVOLT,OUTCURR,OUTPWR,INPUTVOLT,DISSTEMP,ERROR,MAXVOLT,MAXCURR,MAXPWR,TIMESTAMP,GPSLAT,GPSLON,RPM,TEMP-ENG,V-ENG,A-ENG,TEMP-INV,FORCE-ENT,BAT-SOC,RSSI,SNR,PRESSURE1,PRESSURE2,PRESSURE3,INVERTER,IMU1,IMU2,IMU3,IMU4,IMU5,IMU6,EXT1,EXT2,COMPA,SENSOR2,SENSOR3,SENSOR4,WINDSPEED,WINDDEG
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.3,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.6,19.1,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.3,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,0,0,67.7,19.2,0,56,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
